ticker,ticker_name,market_product_category,type_33,type_17,dividendRate,dividendYield,fiveYearAvgDividendYield,payoutRatio,MarketCap,totalRevenue,ROE
3264.T,アスコット,スタンダード（内国株式）,不動産業,不動産 ,6.0,4.03,0.0,19.83,19059632128.0,32145000448.0,0.08
3266.T,ファンドクリエーショングループ,スタンダード（内国株式）,不動産業,不動産 ,2.0,2.3,1.26,19.16,3351375104.0,1728000000.0,0.08
3267.T,フィル・カンパニー,プライム（内国株式）,建設業,建設・資材 ,0.0,0.0,0.0,0.0,4782078464.0,4566000128.0,0.05
3271.T,ＴＨＥグローバル社,スタンダード（内国株式）,不動産業,不動産 ,0.0,0.0,0.0,0.0,8123793408.0,25735000064.0,0.04
3275.T,ハウスコム,プライム（内国株式）,不動産業,不動産 ,16.0,1.74,2.21,37.98,7126867456.0,14179000320.0,0.05
3276.T,ＪＰＭＣ,プライム（内国株式）,不動産業,不動産 ,51.0,4.68,3.75,52.4,19364571136.0,56253001728.0,0.21
3277.T,サンセイランディック,スタンダード（内国株式）,不動産業,不動産 ,57.0,5.89,3.15,16.77,7960212480.0,17575000064.0,0.12
3280.T,エストラスト,スタンダード（内国株式）,不動産業,不動産 ,22.0,3.23,2.18,12.82,4178719744.0,15619000320.0,0.11
3284.T,フージャースホールディングス,プライム（内国株式）,不動産業,不動産 ,56.0,5.67,4.53,40.43,35167023104.0,79286001664.0,0.12
3286.T,トラストホールディングス,グロース（内国株式）,不動産業,不動産 ,14.0,4.07,4.27,27.01,1291472896.0,12184000512.0,0.24
3288.T,オープンハウスグループ,プライム（内国株式）,不動産業,不動産 ,164.0,3.29,2.22,20.42,598841360384.0,1039069020160.0,0.22
3289.T,東急不動産ホールディングス,プライム（内国株式）,不動産業,不動産 ,28.0,3.43,2.62,34.97,582245679104.0,1005835976704.0,0.07
3291.T,飯田グループホールディングス,プライム（内国株式）,不動産業,不動産 ,90.0,3.71,3.41,34.06,681320972288.0,1439764971520.0,0.08
3293.T,アズマハウス,スタンダード（内国株式）,不動産業,不動産 ,35.0,4.64,5.68,55.87,6109009408.0,14163000320.0,0.05
3294.T,イーグランド,スタンダード（内国株式）,不動産業,不動産 ,80.0,5.25,4.72,28.0,9287688192.0,25784999936.0,0.18
3297.T,東武住販,スタンダード（内国株式）,不動産業,不動産 ,34.0,3.1,2.93,22.82,2952893696.0,7551000064.0,0.11
3299.T,ムゲンエステート,プライム（内国株式）,不動産業,不動産 ,64.0,9.04,4.32,20.54,16541908992.0,38153998336.0,0.1
3300.T,アンビション　ＤＸ　ホールディングス,グロース（内国株式）,不動産業,不動産 ,39.0,4.48,2.21,11.43,5790501888.0,36933001216.0,0.29
3302.T,帝国繊維,プライム（内国株式）,繊維製品,素材・化学 ,100.0,6.08,2.1,43.11,43059347456.0,28656001024.0,0.05
3306.T,日本製麻,スタンダード（内国株式）,卸売業,商社・卸売 ,3.0,0.39,0.0,10.07,2830314240.0,3732999936.0,0.06
3315.T,日本コークス工業,プライム（内国株式）,石油・石炭製品,エネルギー資源 ,6.0,5.13,0.0,0.0,34341066752.0,174061993984.0,-0.02
3316.T,東京日産コンピュータシステム,スタンダード（内国株式）,卸売業,商社・卸売 ,46.0,5.68,3.15,32.54,5038113792.0,10017000448.0,0.09
3317.T,フライングガーデン,スタンダード（内国株式）,小売業,小売 ,50.0,2.61,1.7,12.39,2738748672.0,7235999744.0,0.12
3319.T,ゴルフダイジェスト・オンライン,プライム（内国株式）,小売業,小売 ,9.5,1.19,1.11,0.0,14592616448.0,48156999680.0,-0.12
3320.T,クロスプラス,スタンダード（内国株式）,卸売業,商社・卸売 ,14.0,1.71,1.75,9.03,6027494400.0,57713999872.0,0.07
3321.T,ミタチ産業,スタンダード（内国株式）,卸売業,商社・卸売 ,40.0,2.94,3.82,23.92,9281989632.0,43271000064.0,0.14
3322.T,アルファグループ,スタンダード（内国株式）,卸売業,商社・卸売 ,24.0,3.29,1.13,14.43,4267735552.0,13560999936.0,0.05
3323.T,レカム,スタンダード（内国株式）,卸売業,商社・卸売 ,3.2,3.72,0.0,38.02,7066113536.0,9313000448.0,0.05
3326.T,ランシステム,スタンダード（内国株式）,サービス業,情報通信・サービスその他 ,0.0,0.0,0.0,0.0,1470641920.0,4771999744.0,0.0
3328.T,ＢＥＥＮＯＳ,プライム（内国株式）,小売業,小売 ,50.0,2.5,1.21,97.2,24528547840.0,30482999296.0,0.03
3329.T,東和フードサービス,スタンダード（内国株式）,小売業,小売 ,12.0,0.75,0.66,62.5,12838733824.0,10846000128.0,0.07
3333.T,あさひ,プライム（内国株式）,小売業,小売 ,45.0,3.6,1.53,20.61,32773445632.0,76490997760.0,0.1
3341.T,日本調剤,プライム（内国株式）,小売業,小売 ,25.0,2.12,1.64,16.79,36226215936.0,313318014976.0,0.08
3347.T,トラスト,スタンダード（内国株式）,小売業,小売 ,6.0,2.21,1.88,12.46,7038516736.0,34283999232.0,0.17
3349.T,コスモス薬品,プライム（内国株式）,小売業,小売 ,85.0,0.58,0.45,14.21,590617575424.0,802831007744.0,0.12
3350.T,メタプラネット,スタンダード（内国株式）,卸売業,商社・卸売 ,0.0,0.0,0.0,0.0,2408112128.0,251000000.0,-0.45
3352.T,バッファロー,スタンダード（内国株式）,小売業,小売 ,50.0,3.77,3.52,31.79,3161287168.0,10794999808.0,0.06
3353.T,メディカル一光グループ,スタンダード（内国株式）,小売業,小売 ,40.0,1.81,1.25,19.78,8378177024.0,34055000064.0,0.06
3355.T,クリヤマホールディングス,スタンダード（内国株式）,卸売業,商社・卸売 ,60.0,6.49,3.49,13.32,18105186304.0,72764997632.0,0.11
3358.T,ワイエスフード,スタンダード（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,3421118464.0,1736000000.0,-0.06
3359.T,ｃｏｔｔａ,グロース（内国株式）,卸売業,商社・卸売 ,16.0,2.65,1.04,7.91,6391710208.0,8675000320.0,0.15
3360.T,シップヘルスケアホールディングス,プライム（内国株式）,卸売業,商社・卸売 ,85.0,3.66,1.64,36.23,219458813952.0,572284993536.0,0.09
3361.T,トーエル,スタンダード（内国株式）,小売業,小売 ,40.0,5.42,2.41,30.88,14967535616.0,27871000576.0,0.08
3370.T,フジタコーポレーション,スタンダード（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,921569408.0,4193999872.0,-1.57
3371.T,ソフトクリエイトホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他 ,30.0,1.75,1.18,34.82,43071262720.0,24252999680.0,0.19
3372.T,関門海,スタンダード（内国株式）,小売業,小売 ,0.0,0.0,0.0,0.0,4068543488.0,4209999872.0,0.44
3374.T,内外テック,スタンダード（内国株式）,卸売業,商社・卸売 ,179.0,7.61,2.8,25.14,8088907776.0,45281001472.0,0.16
